loss,hit,mrr,time_this_iter_s,should_checkpoint,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
4.199396320272117,19.93617021276596,0.28180890253875257,20.733553409576416,True,False,,,1,b65c5_00042,8846ddd66c2646a3941ff3e92a8fcea5,2022-05-30_19-07-50,1653937670,20.733553409576416,8712,ip-172-16-92-121,172.16.92.121,20.733553409576416,0,1,0.0034513473510742188
3.8534885428089396,19.595744680851062,0.27239312455968445,14.139681577682495,True,False,,,2,b65c5_00042,8846ddd66c2646a3941ff3e92a8fcea5,2022-05-30_19-08-05,1653937685,34.87323498725891,8712,ip-172-16-92-121,172.16.92.121,34.87323498725891,0,2,0.0034513473510742188
3.795798725648782,20.04255319148936,0.27941906959993607,16.23564314842224,True,False,,,3,b65c5_00042,8846ddd66c2646a3941ff3e92a8fcea5,2022-05-30_19-08-21,1653937701,51.10887813568115,8712,ip-172-16-92-121,172.16.92.121,51.10887813568115,0,3,0.0034513473510742188
3.4497574021527737,27.638297872340427,0.3541882575136774,14.791805744171143,True,False,,,4,b65c5_00042,8846ddd66c2646a3941ff3e92a8fcea5,2022-05-30_19-08-36,1653937716,65.9006838798523,8712,ip-172-16-92-121,172.16.92.121,65.9006838798523,0,4,0.0034513473510742188
3.267195145811569,28.0,0.35632177193785425,15.581481695175171,True,False,,,5,b65c5_00042,8846ddd66c2646a3941ff3e92a8fcea5,2022-05-30_19-08-51,1653937731,81.48216557502747,8712,ip-172-16-92-121,172.16.92.121,81.48216557502747,0,5,0.0034513473510742188
3.209274567892853,28.085106382978722,0.3566148410286931,17.063298225402832,True,False,,,6,b65c5_00042,8846ddd66c2646a3941ff3e92a8fcea5,2022-05-30_19-09-08,1653937748,98.5454638004303,8712,ip-172-16-92-121,172.16.92.121,98.5454638004303,0,6,0.0034513473510742188
3.153947222746577,28.085106382978722,0.35565001481726544,15.356683254241943,True,False,,,7,b65c5_00042,8846ddd66c2646a3941ff3e92a8fcea5,2022-05-30_19-09-24,1653937764,113.90214705467224,8712,ip-172-16-92-121,172.16.92.121,113.90214705467224,0,7,0.0034513473510742188
3.1057669746054333,28.361702127659573,0.3556201512777025,12.548634767532349,True,False,,,8,b65c5_00042,8846ddd66c2646a3941ff3e92a8fcea5,2022-05-30_19-09-36,1653937776,126.45078182220459,8712,ip-172-16-92-121,172.16.92.121,126.45078182220459,0,8,0.0034513473510742188
3.0885771579454495,28.425531914893618,0.3552234714679206,13.361999273300171,True,False,,,9,b65c5_00042,8846ddd66c2646a3941ff3e92a8fcea5,2022-05-30_19-09-50,1653937790,139.81278109550476,8712,ip-172-16-92-121,172.16.92.121,139.81278109550476,0,9,0.0034513473510742188
3.0706365925375008,28.361702127659573,0.35477471727096727,12.6682767868042,True,False,,,10,b65c5_00042,8846ddd66c2646a3941ff3e92a8fcea5,2022-05-30_19-10-02,1653937802,152.48105788230896,8712,ip-172-16-92-121,172.16.92.121,152.48105788230896,0,10,0.0034513473510742188
3.068231821002129,28.382978723404257,0.3545845205350473,13.583119630813599,True,False,,,11,b65c5_00042,8846ddd66c2646a3941ff3e92a8fcea5,2022-05-30_19-10-16,1653937816,166.06417751312256,8712,ip-172-16-92-121,172.16.92.121,166.06417751312256,0,11,0.0034513473510742188
3.0662925249376367,28.574468085106382,0.3551283592192633,11.5147545337677,True,False,,,12,b65c5_00042,8846ddd66c2646a3941ff3e92a8fcea5,2022-05-30_19-10-27,1653937827,177.57893204689026,8712,ip-172-16-92-121,172.16.92.121,177.57893204689026,0,12,0.0034513473510742188
3.0634787760039406,28.574468085106382,0.35512394920723,9.545246839523315,True,False,,,13,b65c5_00042,8846ddd66c2646a3941ff3e92a8fcea5,2022-05-30_19-10-37,1653937837,187.12417888641357,8712,ip-172-16-92-121,172.16.92.121,187.12417888641357,0,13,0.0034513473510742188
3.063306812206343,28.574468085106382,0.35510912365030717,9.58602523803711,True,False,,,14,b65c5_00042,8846ddd66c2646a3941ff3e92a8fcea5,2022-05-30_19-10-46,1653937846,196.71020412445068,8712,ip-172-16-92-121,172.16.92.121,196.71020412445068,0,14,0.0034513473510742188
3.0631364048635135,28.574468085106382,0.35510414717454586,9.30632495880127,True,False,,,15,b65c5_00042,8846ddd66c2646a3941ff3e92a8fcea5,2022-05-30_19-10-56,1653937856,206.01652908325195,8712,ip-172-16-92-121,172.16.92.121,206.01652908325195,0,15,0.0034513473510742188
3.0628468964202638,28.574468085106382,0.35509969257210516,9.254209280014038,True,False,,,16,b65c5_00042,8846ddd66c2646a3941ff3e92a8fcea5,2022-05-30_19-11-05,1653937865,215.270738363266,8712,ip-172-16-92-121,172.16.92.121,215.270738363266,0,16,0.0034513473510742188
3.062829785634922,28.574468085106382,0.35509658990933796,9.379090309143066,True,False,,,17,b65c5_00042,8846ddd66c2646a3941ff3e92a8fcea5,2022-05-30_19-11-14,1653937874,224.64982867240906,8712,ip-172-16-92-121,172.16.92.121,224.64982867240906,0,17,0.0034513473510742188
3.0628126058066862,28.595744680851062,0.3551812926028836,9.37575888633728,True,False,,,18,b65c5_00042,8846ddd66c2646a3941ff3e92a8fcea5,2022-05-30_19-11-24,1653937884,234.02558755874634,8712,ip-172-16-92-121,172.16.92.121,234.02558755874634,0,18,0.0034513473510742188
